,trial,block,s1,s2,connected,response,accuracy,rt,counter,id,condition
2468,9,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,1,yes,1,2094,0.0,134,1
2469,10,0,./static/experiments/de2/materials/stim_files/12.png,./static/experiments/de2/materials/stim_files/4.png,1,yes,1,1408,0.0,134,1
2470,11,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/10.png,1,yes,1,1502,0.0,134,1
2471,12,0,./static/experiments/de2/materials/stim_files/2.png,./static/experiments/de2/materials/stim_files/1.png,0,no,1,1265,0.0,134,1
2472,13,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,1,yes,1,1617,0.0,134,1
2473,14,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/14.png,0,no,1,1554,0.0,134,1
2474,15,0,./static/experiments/de2/materials/stim_files/14.png,./static/experiments/de2/materials/stim_files/6.png,1,yes,1,1897,0.0,134,1
2475,16,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/14.png,0,no,1,1183,0.0,134,1
2476,17,0,./static/experiments/de2/materials/stim_files/11.png,./static/experiments/de2/materials/stim_files/12.png,0,no,1,1321,0.0,134,1
2477,18,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/11.png,0,no,1,913,0.0,134,1
2478,19,0,./static/experiments/de2/materials/stim_files/7.png,./static/experiments/de2/materials/stim_files/15.png,1,yes,1,900,0.0,134,1
2479,20,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,1,yes,1,942,0.0,134,1
2480,21,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/7.png,1,yes,1,971,0.0,134,1
2481,22,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/5.png,0,no,1,980,0.0,134,1
2482,23,0,./static/experiments/de2/materials/stim_files/10.png,./static/experiments/de2/materials/stim_files/2.png,1,yes,1,1092,0.0,134,1
2483,24,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/3.png,0,no,1,876,0.0,134,1
2484,25,0,./static/experiments/de2/materials/stim_files/8.png,./static/experiments/de2/materials/stim_files/16.png,1,yes,1,1438,0.0,134,1
2485,26,0,./static/experiments/de2/materials/stim_files/9.png,./static/experiments/de2/materials/stim_files/1.png,1,yes,1,1005,0.0,134,1
2486,27,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/16.png,0,no,1,1094,0.0,134,1
2487,28,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/5.png,1,yes,1,1134,0.0,134,1
2488,29,0,./static/experiments/de2/materials/stim_files/4.png,./static/experiments/de2/materials/stim_files/12.png,1,yes,1,1398,0.0,134,1
2489,30,0,./static/experiments/de2/materials/stim_files/13.png,./static/experiments/de2/materials/stim_files/12.png,0,no,1,1262,0.0,134,1
2490,0,0,./static/experiments/de2/materials/stim_files/15.png,./static/experiments/de2/materials/stim_files/16.png,,,,35,,165,3
